Bangladesh :		

DIVISIONS       DISTRICTS	        UPZILLA    	 
Chittagong  	    Brahmanbaria  	    Bancharampur  
Chittagong  	    Brahmanbaria  	    Brahmanbaria Sadar  
Chittagong  	    Brahmanbaria  	    Kasba  
Chittagong  	    Brahmanbaria  	    Nabinagar  
Chittagong  	    Brahmanbaria  	    Nasirnagar  
Chittagong  	    Brahmanbaria  	    Sarail  
Chittagong  	    Brahmanbaria  	    Ashuganj  
Chittagong  	    Brahmanbaria  	    Bijoynagar  
Chittagong  	    Chandpur  	        Chandpur Sadar  
Chittagong  	    Chandpur  	        Faridganj  
Chittagong  	    Chandpur  	        Haimchar  
Chittagong  	    Chandpur  	        Haziganj  
Chittagong  	    Chandpur  	        Kachua  
Chittagong  	    Chandpur  	        Matlab Dakshin  
Chittagong  	    Chandpur  	        Matlab Uttar  
Chittagong  	    Chandpur  	        Shahrasti  
Chittagong  	    Chittagong  	    Anwara  
Chittagong  	    Chittagong  	    Banshkhali  
Chittagong  	    Chittagong  	    Boalkhali  
Chittagong  	    Chittagong  	    Chandanaish  
Chittagong  	    Chittagong  	    Fatikchhari  
Chittagong  	    Chittagong  	    Hathazari  
Chittagong  	    Chittagong  	    Lohagara  
Chittagong  	    Chittagong  	    Mirsharai  
Chittagong  	    Chittagong  	    Patiya  
Chittagong  	    Chittagong  	    Rangunia  
Chittagong  	    Chittagong  	    Raozan  
Chittagong  	    Chittagong  	    Sandwip  
Chittagong  	    Chittagong  	    Satkania  
Chittagong  	    Chittagong  	    Sitakunda  
Chittagong  	    Chittagong  	    Bandor (Chittagong Port) Thana
Chittagong  	    Chittagong  	    Chandgaon Thana
Chittagong  	    Chittagong  	    Double Mooring Thana
Chittagong  	    Chittagong  	    Kotwali Thana
Chittagong  	    Chittagong  	    Pahartali Thana
Chittagong  	    Chittagong  	    Panchlaish Thana
Chittagong  	    Comilla  	        Barura  
Chittagong  	    Comilla  	        Brahmanpara  
Chittagong  	    Comilla  	        Burichang  
Chittagong  	    Comilla  	        Chandina  
Chittagong  	    Comilla  	        Chauddagram  
Chittagong  	    Comilla  	        Daudkandi  
Chittagong  	    Comilla  	        Debidwar  
Chittagong  	    Comilla  	        Homna  
Chittagong  	    Comilla  	        Laksam  
Chittagong  	    Comilla  	        Muradnagar  
Chittagong  	    Comilla  	        Nangalkot  
Chittagong  	    Comilla  	        Comilla Adarsha Sadar  
Chittagong  	    Comilla  	        Meghna  
Chittagong  	    Comilla  	        Titas  
Chittagong  	    Comilla  	        Monohargonj  
Chittagong  	    Comilla  	        Comilla Sadar Dakshin  
Chittagong  	    Cox's Bazar  	    Chakaria  
Chittagong  	    Cox's Bazar  	    Cox's Bazar Sadar  
Chittagong  	    Cox's Bazar  	    Kutubdia  
Chittagong  	    Cox's Bazar  	    Maheshkhali  
Chittagong  	    Cox's Bazar  	    Ramu  
Chittagong  	    Cox's Bazar  	    Teknaf  
Chittagong  	    Cox's Bazar  	    Ukhia  
Chittagong  	    Cox's Bazar  	    Pekua  
Chittagong  	    Feni  	            Chhagalnaiya  
Chittagong  	    Feni  	            Daganbhuiyan  
Chittagong  	    Feni  	            Feni Sadar  
Chittagong  	    Feni  	            Parshuram  
Chittagong  	    Feni  	            Sonagazi  
Chittagong  	    Feni  	            Fulgazi  
Chittagong  	    Khagrachhari  	    Dighinala  
Chittagong  	    Khagrachhari  	    Khagrachhari  
Chittagong  	    Khagrachhari  	    Lakshmichhari  
Chittagong  	    Khagrachhari  	    Mahalchhari  
Chittagong  	    Khagrachhari  	    Manikchhari  
Chittagong  	    Khagrachhari  	    Matiranga  
Chittagong  	    Khagrachhari  	    Panchhari  
Chittagong  	    Khagrachhari  	    Ramgarh  
Chittagong  	    Lakshmipur  	    Lakshmipur Sadar  
Chittagong  	    Lakshmipur  	    Raipur  
Chittagong  	    Lakshmipur  	    Ramganj  
Chittagong  	    Lakshmipur  	    Ramgati  
Chittagong  	    Lakshmipur  	    Kamalnagar  
Chittagong  	    Noakhali  	        Begumganj  
Chittagong  	    Noakhali  	        Noakhali Sadar  
Chittagong  	    Noakhali  	        Chatkhil  
Chittagong  	    Noakhali  	        Companiganj  
Chittagong  	    Noakhali  	        Hatiya  
Chittagong  	    Noakhali  	        Senbagh  
Chittagong  	    Noakhali  	        Sonaimuri  
Chittagong  	    Noakhali  	        Subarnachar  
Chittagong  	    Noakhali  	        Kabirhat  
Chittagong  	    Rangamati  	        Bagaichhari  
Chittagong  	    Rangamati  	        Barkal  
Chittagong  	    Rangamati  	        Kawkhali (Betbunia)  
Chittagong  	    Rangamati  	        Belaichhari  
Chittagong  	    Rangamati  	        Kaptai  
Chittagong  	    Rangamati  	        Juraichhari  
Chittagong  	    Rangamati  	        Langadu  
Chittagong  	    Rangamati  	        Naniyachar  
Chittagong  	    Rangamati  	        Rajasthali  
Chittagong  	    Rangamati  	        Rangamati Sadar  
Dhaka  	            Dhaka  	            Dhamrai  
Dhaka  	            Dhaka  	            Dohar  
Dhaka  	            Dhaka  	            Keraniganj  
Dhaka  	            Dhaka  	            Nawabganj  
Dhaka  	            Dhaka  	            Savar  
Dhaka  	            Faridpur  	        Alfadanga  
Dhaka  	            Faridpur  	        Bhanga  
Dhaka  	            Faridpur  	        Boalmari  
Dhaka  	            Faridpur  	        Charbhadrasan  
Dhaka  	            Faridpur  	        Faridpur Sadar  
Dhaka  	            Faridpur  	        Madhukhali  
Dhaka  	            Faridpur  	        Nagarkanda  
Dhaka  	            Faridpur  	        Sadarpur  
Dhaka  	            Faridpur  	        Saltha  
Dhaka  	            Gazipur  	        Gazipur Sadar  
Dhaka  	            Gazipur  	        Kaliakair  
Dhaka  	            Gazipur  	        Kaliganj  
Dhaka  	            Gazipur  	        Kapasia  
Dhaka  	            Gazipur  	        Sreepur  
Dhaka  	            Gopalganj  	        Gopalganj Sadar  
Dhaka  	            Gopalganj  	        Kashiani  
Dhaka  	            Gopalganj  	        Kotalipara  
Dhaka  	            Gopalganj  	        Muksudpur  
Dhaka  	            Gopalganj  	        Tungipara  
Dhaka  	            Jamalpur  	        Baksiganj  
Dhaka  	            Jamalpur  	        Dewanganj  
Dhaka  	            Jamalpur  	        Islampur  
Dhaka  	            Jamalpur  	        Jamalpur Sadar  
Dhaka  	            Jamalpur  	        Madarganj  
Dhaka  	            Jamalpur  	        Melandaha  
Dhaka  	            Jamalpur  	        Sarishabari  
Dhaka  	            Kishoreganj  	    Astagram  
Dhaka  	            Kishoreganj  	    Bajitpur  
Dhaka  	            Kishoreganj  	    Bhairab  
Dhaka  	            Kishoreganj  	    Hossainpur  
Dhaka  	            Kishoreganj  	    Itna  
Dhaka  	            Kishoreganj  	    Karimganj  
Dhaka  	            Kishoreganj  	    Katiadi  
Dhaka  	            Kishoreganj  	    Kishoreganj Sadar  
Dhaka  	            Kishoreganj  	    Kuliarchar  
Dhaka  	            Kishoreganj  	    Mithamain  
Dhaka  	            Kishoreganj  	    Nikli  
Dhaka  	            Kishoreganj  	    Pakundia  
Dhaka  	            Kishoreganj  	    Tarail  
Dhaka  	            Madaripur  	        Rajoir  
Dhaka  	            Madaripur  	        Madaripur Sadar  
Dhaka  	            Madaripur  	        Kalkini  
Dhaka  	            Madaripur  	        Shibchar  
Dhaka  	            Manikganj  	        Daulatpur  
Dhaka  	            Manikganj  	        Ghior  
Dhaka  	            Manikganj  	        Harirampur  
Dhaka  	            Manikganj  	        Manikgonj Sadar  
Dhaka  	            Manikganj  	        Saturia  
Dhaka  	            Manikganj  	        Shivalaya  
Dhaka  	            Manikganj  	        Singair  
Dhaka  	            Munshiganj  	    Gazaria  
Dhaka  	            Munshiganj  	    Lohajang  
Dhaka  	            Munshiganj  	    Munshiganj Sadar  
Dhaka  	            Munshiganj  	    Sirajdikhan  
Dhaka  	            Munshiganj  	    Sreenagar  
Dhaka  	            Munshiganj  	    Tongibari  
Dhaka  	            Mymensingh  	    Bhaluka  
Dhaka  	            Mymensingh  	    Dhobaura  
Dhaka  	            Mymensingh  	    Fulbaria  
Dhaka  	            Mymensingh  	    Gaffargaon  
Dhaka  	            Mymensingh  	    Gauripur  
Dhaka  	            Mymensingh  	    Haluaghat  
Dhaka  	            Mymensingh  	    Ishwarganj  
Dhaka  	            Mymensingh  	    Mymensingh Sadar  
Dhaka  	            Mymensingh  	    Muktagachha  
Dhaka  	            Mymensingh  	    Nandail  
Dhaka  	            Mymensingh  	    Phulpur  
Dhaka  	            Mymensingh  	    Trishal  
Dhaka  	            Mymensingh  	    Tara Khanda  
Dhaka  	            Narayanganj         Araihazar  
Dhaka  	            Narayanganj         Bandar  
Dhaka  	            Narayanganj         Narayanganj Sadar  
Dhaka  	            Narayanganj         Rupganj  
Dhaka  	            Narayanganj         Sonargaon  
Dhaka  	            Netrokona  	        Atpara  
Dhaka  	            Netrokona  	        Barhatta  
Dhaka  	            Netrokona  	        Durgapur  
Dhaka  	            Netrokona  	        Khaliajuri  
Dhaka  	            Netrokona  	        Kalmakanda  
Dhaka  	            Netrokona  	        Kendua  
Dhaka  	            Netrokona  	        Madan  
Dhaka  	            Netrokona  	        Mohanganj  
Dhaka  	            Netrokona  	        Netrokona Sadar  
Dhaka  	            Netrokona  	        Purbadhala  
Dhaka  	            Rajbari  	        Baliakandi  
Dhaka  	            Rajbari  	        Goalandaghat  
Dhaka  	            Rajbari  	        Pangsha  
Dhaka  	            Rajbari  	        Rajbari Sadar  
Dhaka  	            Rajbari  	        Kalukhali  
Dhaka  	            Shariatpur  	    Bhedarganj  
Dhaka  	            Shariatpur  	    Damudya  
Dhaka  	            Shariatpur  	    Gosairhat  
Dhaka  	            Shariatpur  	    Naria  
Dhaka  	            Shariatpur  	    Shariatpur Sadar  
Dhaka  	            Shariatpur  	    Zanjira  
Dhaka  	            Shariatpur  	    Shakhipur  
Dhaka  	            Sherpur  	        Jhenaigati  
Dhaka  	            Sherpur  	        Nakla  
Dhaka  	            Sherpur  	        Nalitabari  
Dhaka  	            Sherpur  	        Sherpur Sadar  
Dhaka  	            Sherpur  	        Sreebardi  
Dhaka  	            Tangail  	        Gopalpur  
Dhaka  	            Tangail  	        Basail  
Dhaka  	            Tangail  	        Bhuapur  
Dhaka  	            Tangail  	        Delduar  
Dhaka  	            Tangail  	        Ghatail  
Dhaka  	            Tangail  	        Kalihati  
Dhaka  	            Tangail  	        Madhupur  
Dhaka  	            Tangail  	        Mirzapur  
Dhaka  	            Tangail  	        Nagarpur  
Dhaka  	            Tangail  	        Sakhipur  
Dhaka  	            Tangail  	        Dhanbari  
Dhaka  	            Tangail  	        Tangail Sadar  
Dhaka  	            Narsingdi  	        Narsingdi Sadar  
Dhaka  	            Narsingdi  	        Belabo  
Dhaka  	            Narsingdi  	        Monohardi  
Dhaka  	            Narsingdi  	        Palash  
Dhaka  	            Narsingdi  	        Raipura  
Dhaka  	            Narsingdi  	        Shibpur  
Khulna  	        Bagerhat  	        Bagerhat Sadar  
Khulna  	        Bagerhat  	        Chitalmari  
Khulna  	        Bagerhat  	        Fakirhat  
Khulna  	        Bagerhat  	        Kachua  
Khulna  	        Bagerhat  	        Mollahat  
Khulna  	        Bagerhat  	        Mongla  
Khulna  	        Bagerhat  	        Morrelganj  
Khulna  	        Bagerhat  	        Rampal  
Khulna  	        Bagerhat  	        Sarankhola  
Khulna  	        Chuadanga  	        Alamdanga  
Khulna  	        Chuadanga  	        Chuadanga Sadar  
Khulna  	        Chuadanga  	        Damurhuda  
Khulna  	        Chuadanga  	        Jibannagar  
Khulna  	        Jessore  	        Abhaynagar  
Khulna  	        Jessore  	        Bagherpara  
Khulna  	        Jessore  	        Chaugachha  
Khulna  	        Jessore  	        Jhikargachha  
Khulna  	        Jessore  	        Keshabpur  
Khulna  	        Jessore  	        Jessore Sadar  
Khulna  	        Jessore  	        Manirampur  
Khulna  	        Jessore  	        Sharsha  
Khulna  	        Jhenaida  	        Harinakunda  
Khulna  	        Jhenaida  	        Jhenaidah Sadar  
Khulna  	        Jhenaida  	        Kaliganj  
Khulna  	        Jhenaida  	        Kotchandpur  
Khulna  	        Jhenaida  	        Maheshpur  
Khulna  	        Jhenaida  	        Shailkupa  
Khulna  	        Khulna  	        Batiaghata  
Khulna  	        Khulna  	        Dacope  
Khulna  	        Khulna  	        Dumuria  
Khulna  	        Khulna  	        Dighalia  
Khulna  	        Khulna  	        Koyra  
Khulna  	        Khulna  	        Paikgachha  
Khulna  	        Khulna  	        Phultala  
Khulna  	        Khulna  	        Rupsha  
Khulna  	        Khulna  	        Terokhada  
Khulna  	        Khulna  	        Daulatpur Thana
Khulna  	        Khulna  	        Khalishpur Thana
Khulna  	        Khulna  	        Khan Jahan Ali Thana
Khulna  	        Khulna  	        Kotwali Thana
Khulna  	        Khulna  	        Sonadanga Thana
Khulna  	        Khulna  	        Harintana Thana
Khulna  	        Kushtia  	        Bheramara  
Khulna  	        Kushtia  	        Daulatpur  
Khulna  	        Kushtia  	        Khoksa  
Khulna  	        Kushtia  	        Kumarkhali  
Khulna  	        Kushtia  	        Kushtia Sadar  
Khulna  	        Kushtia  	        Mirpur  
Khulna  	        Kushtia  	        Shekhpara  
Khulna  	        Magura  	        Magura Sadar  
Khulna  	        Magura  	        Mohammadpur  
Khulna  	        Magura  	        Shalikha  
Khulna  	        Magura  	        Sreepur  
Khulna  	        Meherpur  	        Gangni  
Khulna  	        Meherpur  	        Meherpur Sadar  
Khulna  	        Meherpur  	        Mujibnagar  
Khulna  	        Narail  	        Kalia  
Khulna  	        Narail  	        Lohagara  
Khulna  	        Narail  	        Narail Sadar  
Khulna  	        Narail  	        Naragati Thana
Khulna  	        Satkhira  	        Assasuni  
Khulna  	        Satkhira  	        Debhata  
Khulna  	        Satkhira  	        Kalaroa  
Khulna  	        Satkhira  	        Kaliganj  
Khulna  	        Satkhira  	        Satkhira Sadar  
Khulna  	        Satkhira  	        Shyamnagar  
Khulna  	        Satkhira  	        Tala  
Sylhet  	        Habiganj  	        Ajmiriganj  
Sylhet  	        Habiganj  	        Bahubal  
Sylhet  	        Habiganj  	        Baniyachong  
Sylhet  	        Habiganj  	        Chunarughat  
Sylhet  	        Habiganj  	        Habiganj Sadar  
Sylhet  	        Habiganj  	        Lakhai  
Sylhet  	        Habiganj  	        Madhabpur  
Sylhet  	        Habiganj  	        Nabiganj  
Sylhet  	        Moulvibazar  	    Barlekha  
Sylhet  	        Moulvibazar  	    Kamalganj  
Sylhet  	        Moulvibazar  	    Kulaura  
Sylhet  	        Moulvibazar  	    Moulvibazar Sadar  
Sylhet  	        Moulvibazar  	    Rajnagar  
Sylhet  	        Moulvibazar  	    Sreemangal  
Sylhet  	        Moulvibazar  	    Juri  
Sylhet  	        Sunamganj  	        Bishwamvarpur  
Sylhet  	        Sunamganj  	        Chhatak  
Sylhet  	        Sunamganj  	        Derai  
Sylhet  	        Sunamganj  	        Dharampasha  
Sylhet  	        Sunamganj  	        Dowarabazar  
Sylhet  	        Sunamganj  	        Jagannathpur  
Sylhet  	        Sunamganj  	        Jamalganj  
Sylhet  	        Sunamganj  	        Sullah  
Sylhet  	        Sunamganj  	        Sunamganj Sadar  
Sylhet  	        Sunamganj  	        Tahirpur  
Sylhet  	        Sunamganj  	        South Sunamganj  
Sylhet  	        Sylhet  	        Balaganj  
Sylhet  	        Sylhet  	        Beanibazar  
Sylhet  	        Sylhet  	        Bishwanath  
Sylhet  	        Sylhet  	        Companigonj  
Sylhet  	        Sylhet  	        Fenchuganj  
Sylhet  	        Sylhet  	        Golapganj  
Sylhet  	        Sylhet  	        Gowainghat  
Sylhet  	        Sylhet  	        Jaintiapur  
Sylhet  	        Sylhet  	        Kanaighat  
Sylhet  	        Sylhet  	        Sylhet Sadar  
Sylhet  	        Sylhet  	        Zakiganj  
Sylhet  	        Sylhet  	        South Shurma  
